PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
Miles McBride,NYK,68,1327.74,0.452,0.86,114,30
Mitchell Robinson,NYK,31,768.11,0.575,0.409,18,25
Mo Bamba,PHI,57,740.3516666666667,0.49,0.68,41,39
Monté Morris,MIN,33,476.04333333333335,0.405,0.684,69,7
Moritz Wagner,ORL,80,1414.736666666667,0.601,0.814,96,97
Moses Brown,POR,22,199.97833333333327,0.508,0.29,7,11
Moses Moody,GSW,66,1155.885,0.462,0.785,57,44
Mouhamadou Gueye,TOR,11,119.94166666666666,0.289,0.444,5,12
Mouhamed Gueye,ATL,6,72.8,0.348,0.833,4,1
Moussa Diabaté,LAC,11,64.23833333333333,0.526,0.643,4,2
Myles Turner,IND,77,2076.4366666666665,0.524,0.773,100,109
Naji Marshall,NOP,66,1257.1233333333332,0.463,0.791,128,65
Nassir Little,PHX,45,458.28333333333336,0.46,0.85,21,14
Nate Hinton,HOU,15,74.55166666666666,0.423,0.8,10,3
Nate Williams,HOU,22,129.385,0.54,0.538,7,4
Nathan Mensah,CHA,25,306.64166666666665,0.429,0.75,9,14
Naz Reid,MIN,81,1963.8283333333331,0.477,0.736,106,111
Neemias Queta,BOS,28,333.21666666666664,0.644,0.714,20,13
Nic Claxton,BKN,71,2115.6633333333334,0.629,0.551,147,93
Nick Richards,CHA,67,1758.736666666667,0.691,0.737,54,73
Nick Smith Jr.,CHA,51,728.71,0.391,0.867,59,39
Nickeil Alexander-Walker,MIN,82,1920.9183333333333,0.439,0.8,204,76
Nicolas Batum,PHI,60,1529.5866666666666,0.453,0.714,128,40
Nikola Jokić,DEN,79,2736.5333333333333,0.583,0.817,708,237
Nikola Jović,MIA,46,896.2366666666667,0.452,0.702,90,42
Nikola Vučević,CHI,76,2609.5016666666666,0.484,0.822,254,120
Noah Clowney,BKN,23,369.85833333333335,0.538,0.7,18,15
Norman Powell,LAC,76,1990.378333333333,0.486,0.831,82,66
OG Anunoby,NYK,50,1702.035,0.489,0.753,107,81
Obi Toppin,IND,82,1730.6016666666667,0.573,0.77,128,69
Ochai Agbaji,TOR,78,1641.611666666667,0.411,0.661,83,64
Olivier Sarr,OKC,15,98.20166666666668,0.579,0.667,2,3
Olivier-Maxence Prosper,DAL,40,336.21166666666664,0.385,0.683,22,8
Omer Yurtseven,UTA,48,545.1016666666667,0.538,0.679,29,37
Onuralp Bitim,CHI,23,267.9916666666667,0.381,0.8,13,10
Onyeka Okongwu,ATL,55,1404.736666666667,0.611,0.793,74,45
Orlando Robinson,MIA,36,303.69,0.5,0.76,34,18
Oscar Tshiebwe,IND,8,41.91666666666666,0.5,0.75,2,0
Oshae Brissett,BOS,55,630.165,0.444,0.602,44,20
Otto Porter Jr.,TOR,15,174.07333333333332,0.424,1.0,8,2
Ousmane Dieng,OKC,33,364.9533333333333,0.422,0.875,37,19
P.J. Tucker,LAC,31,486.3133333333333,0.36,1.0,16,8
P.J. Washington,DAL,73,2220.6783333333333,0.436,0.683,141,96
Paolo Banchero,ORL,80,2798.701666666667,0.455,0.725,431,247
Pascal Siakam,IND,80,2657.8883333333333,0.536,0.732,342,141
Pat Connaughton,MIL,76,1676.28,0.435,0.759,161,49
Pat Spencer,GSW,6,25.65,0.5,0.0,5,1
Patrick Baldwin Jr.,WAS,38,493.5083333333333,0.381,0.679,29,19
Patrick Beverley,MIL,73,1462.5116666666668,0.417,0.822,212,65
Patrick Williams,CHI,43,1174.085,0.443,0.788,66,57
Patty Mills,MIA,32,415.315,0.351,1.0,34,16
Paul George,LAC,74,2501.766666666667,0.471,0.907,262,153
Paul Reed,PHI,82,1589.5016666666668,0.54,0.718,109,67
Payton Pritchard,BOS,82,1825.7333333333331,0.468,0.821,281,61
Pete Nance,CLE,8,27.35,0.167,0.0,0,1
Peyton Watson,DEN,80,1487.8366666666666,0.465,0.67,86,58
Precious Achiuwa,NYK,74,1623.753333333333,0.501,0.616,97,83
Quentin Grimes,DET,51,1024.9433333333334,0.372,0.756,66,28
Quenton Jackson,IND,3,10.533333333333331,0.0,1.0,2,0
R.J. Hampton,MIA,8,76.02166666666666,0.286,0.5,8,3
RJ Barrett,TOR,58,1838.1333333333332,0.495,0.715,193,126
RaiQuan Gray,SAS,3,39.03333333333333,0.588,0.0,6,1
Rayan Rupert,POR,39,633.225,0.335,0.76,62,31
Reggie Bullock Jr.,HOU,44,417.47333333333336,0.415,1.0,15,10
Reggie Jackson,DEN,82,1816.82,0.431,0.806,308,106
Richaun Holmes,WAS,40,554.11,0.558,0.723,25,24
Ricky Council IV,PHI,32,288.64,0.482,0.746,16,5
Robert Covington,PHI,29,488.415,0.439,0.846,24,11
Robert Williams III,POR,6,118.75,0.654,0.778,5,7
Robin Lopez,MIL,16,64.73,0.368,1.0,4,2
Ron Harper Jr.,TOR,1,3.65,0.0,0.0,1,0
Royce O'Neale,PHX,79,1954.2416666666663,0.397,0.686,219,73
Rudy Gobert,MIN,76,2593.113333333333,0.661,0.638,102,118
Rui Hachimura,LAL,68,1825.493333333333,0.537,0.739,81,46
Russell Westbrook,LAC,68,1528.8166666666666,0.454,0.688,306,144
Ryan Arcidiacono,NYK,20,45.155,0.0,0.0,4,2
Ryan Rollins,MIL,13,77.85,0.519,0.765,14,8
Saben Lee,PHX,24,184.97166666666664,0.364,0.744,30,8
Saddiq Bey,ATL,63,2061.6583333333333,0.416,0.837,92,54
Sam Hauser,BOS,79,1740.585,0.446,0.895,82,32
Sam Merrill,CLE,61,1068.9183333333333,0.402,0.929,108,19
Sandro Mamukelashvili,SAS,46,450.9583333333333,0.471,0.735,49,19
Santi Aldama,MEM,61,1618.0566666666666,0.435,0.621,138,69
Sasha Vezenkov,SAC,42,511.0733333333333,0.44,0.8,19,12
Scoot Henderson,POR,62,1765.3933333333334,0.385,0.819,336,212
Scottie Barnes,TOR,60,2094.248333333333,0.475,0.781,363,165
Scotty Pippen Jr.,MEM,21,526.8283333333334,0.493,0.745,98,56
Seth Curry,CHA,44,615.4133333333333,0.392,0.903,44,21
Seth Lundy,ATL,9,51.98333333333333,0.235,0.75,0,1
Shaedon Sharpe,POR,32,1059.0183333333334,0.406,0.824,94,72
Shai Gilgeous-Alexander,OKC,75,2552.6866666666665,0.535,0.874,465,162
Shake Milton,NYK,48,581.16,0.405,0.816,60,31
Shaquille Harrison,MEM,3,5.966666666666667,0.5,0.0,0,0
Sidy Cissoko,SAS,12,140.91833333333332,0.485,0.8,10,3
Simone Fontecchio,DET,66,1643.8933333333334,0.46,0.818,101,68
Skylar Mays,LAL,38,433.27166666666665,0.396,0.765,85,20
Spencer Dinwiddie,LAL,76,2152.4083333333333,0.392,0.805,356,91
Stanley Umude,DET,24,307.12166666666667,0.44,0.906,11,14
Stephen Curry,GSW,74,2421.5383333333334,0.45,0.923,379,210
Svi Mykhailiuk,BOS,41,413.16333333333336,0.416,0.667,35,12
T.J. McConnell,IND,71,1290.9766666666667,0.556,0.79,390,108
T.J. Warren,MIN,11,124.67333333333332,0.439,0.75,9,4
Taj Gibson,DET,20,204.50333333333333,0.405,1.0,11,5
Talen Horton-Tucker,UTA,51,1008.6983333333334,0.396,0.807,177,65
Tari Eason,HOU,22,480.105,0.466,0.636,27,20
Taurean Prince,LAL,78,2107.6216666666664,0.442,0.735,119,73
Taylor Hendricks,UTA,40,856.4316666666666,0.45,0.793,32,27
Taze Moore,POR,4,40.333333333333336,0.421,0.5,5,3
Terance Mann,LAC,75,1872.8916666666669,0.515,0.832,119,48
Terquavion Smith,PHI,16,84.49666666666667,0.391,0.6,12,7
Terry Rozier,MIA,61,2040.381666666667,0.443,0.869,342,106
Terry Taylor,CHI,31,187.63,0.513,0.8,10,7
Thaddeus Young,PHX,33,439.50166666666667,0.602,0.4,57,15
Thanasis Antetokounmpo,MIL,34,155.43166666666667,0.533,0.0,17,14
Theo Maledon,PHX,17,213.19666666666663,0.286,0.933,28,18
Thomas Bryant,MIA,38,441.365,0.577,0.872,23,21
Tim Hardaway Jr.,DAL,79,2120.3283333333334,0.402,0.852,139,69
Timmy Allen,MEM,5,125.45166666666668,0.261,0.5,5,2
Tobias Harris,PHI,70,2367.78,0.487,0.878,217,93
Torrey Craig,CHI,53,1048.6016666666667,0.43,0.75,58,32
Tosan Evbuomwan,DET,17,366.5783333333333,0.507,0.68,16,9
Toumani Camara,POR,70,1739.32,0.45,0.758,87,84
Trae Young,ATL,54,1941.7133333333331,0.43,0.855,583,235
Trayce Jackson-Davis,GSW,68,1130.4516666666666,0.702,0.561,82,49
Tre Jones,SAS,77,2138.18,0.505,0.856,478,116
Tre Mann,CHA,41,987.0983333333334,0.459,0.763,165,65
Trendon Watford,BKN,63,856.52,0.527,0.794,81,63
Trent Forrest,ATL,38,413.76166666666666,0.378,0.765,92,20
Trevelin Queen,ORL,14,164.72666666666666,0.368,0.75,18,7
Trey Jemison III,MEM,25,573.985,0.551,0.84,27,34
Trey Lyles,SAC,58,1158.2183333333332,0.445,0.7,72,38
Trey Murphy III,NOP,57,1690.265,0.443,0.815,124,34
Tristan Thompson,CLE,49,548.9166666666666,0.613,0.288,51,29
Tristan Vukcevic,WAS,10,153.41166666666666,0.433,0.773,13,10
Troy Brown Jr.,DET,59,826.5116666666667,0.372,0.865,60,30
Ty Jerome,CLE,2,14.816666666666666,0.5,0.0,3,1
TyTy Washington Jr.,MIL,11,55.92166666666667,0.3,0.0,5,2
Tyler Herro,MIA,42,1407.105,0.441,0.856,188,93
Tyrese Haliburton,IND,69,2223.5383333333334,0.477,0.855,752,159
Tyrese Maxey,PHI,70,2625.806666666667,0.45,0.868,433,116
Tyus Jones,WAS,66,1932.6666666666667,0.489,0.8,485,66
Udoka Azubuike,PHX,16,112.82833333333332,0.696,0.231,3,4
Usman Garuba,GSW,6,17.783333333333335,0.167,0.5,1,2
Vasilije Micic,CHA,60,1175.73,0.43,0.813,262,99
Victor Wembanyama,SAS,71,2106.235,0.465,0.796,274,260
Vince Williams Jr.,MEM,52,1436.53,0.446,0.8,175,92
